b30_t10,b30_t3,lp_t10,lp_t3,wLEX_t10,wLEX_t3,wSMA_t3,wSMA_t10,5o_t10,5o_t3
81,54,73,46,84,55,55,84,124,68
84,55,75,45,84,55,55,84,124,68
88,58,73,45,84,55,55,84,81,56
87,54,78,44,84,55,55,84,124,68
79,55,75,46,84,55,55,84,124,68
79,55,75,44,84,55,55,84,80,52
82,51,73,45,84,55,55,84,124,68
81,52,76,45,84,55,55,84,124,68
82,55,75,44,84,55,55,84,81,50
89,55,75,44,84,55,55,84,124,68
82,53,74,47,83,55,55,84,124,68
86,55,74,47,83,55,55,84,80,55
85,54,72,44,84,55,54,84,124,68
82,51,76,43,83,54,55,84,124,68
84,57,74,44,83,54,55,84,82,57
83,54,76,45,83,54,55,83,124,68
86,57,76,46,84,55,54,83,124,68
81,53,77,44,83,54,55,84,83,57
81,55,74,43,84,55,56,84,124,68
82,52,70,45,83,55,55,85,124,68
83,57,75,45,81,53,56,85,83,56
85,55,73,43,83,56,54,83,124,68
78,54,75,48,82,53,55,83,124,68
88,54,75,45,82,54,56,85,83,54
81,57,74,44,83,54,57,86,124,68
83,55,74,44,83,54,56,84,124,68
80,53,74,43,83,55,57,85,82,54
82,53,76,45,82,53,55,83,124,68
80,53,74,47,83,54,55,84,124,68
83,54,74,44,83,55,54,84,83,57
84,53,73,45,83,55,54,84,126,69
81,52,76,44,83,53,55,84,126,67
84,51,75,45,82,54,57,85,80,55
82,56,77,43,85,57,57,84,124,69
81,58,71,43,84,55,55,83,124,69
82,53,74,45,83,54,54,83,82,51
87,53,74,46,85,57,55,83,126,68
88,58,75,44,84,55,55,84,125,68
81,55,73,45,82,53,54,83,83,53
78,54,75,44,84,57,54,84,124,69
81,53,75,42,84,56,55,83,125,67
83,54,74,48,83,53,55,84,81,50
83,56,75,45,83,54,53,85,127,67
78,53,78,45,81,53,56,82,125,72
77,53,73,46,81,52,54,83,87,56
80,56,71,43,81,52,54,85,124,66
79,53,75,46,81,54,54,81,125,70
84,52,76,47,83,54,54,83,83,54
81,57,76,49,81,52,56,82,124,71
86,59,76,44,85,57,57,85,125,69
79,52,76,49,82,55,55,82,87,54
85,55,73,44,85,57,56,84,125,70
83,52,73,46,82,55,58,85,126,67
87,55,74,47,83,56,56,83,85,56
83,54,77,45,84,56,55,84,124,69
82,54,77,42,82,53,55,84,124,70
82,57,74,44,82,53,56,82,85,50
82,55,75,47,81,52,54,83,125,65
86,55,74,43,83,52,54,83,124,67
85,57,73,43,83,54,55,83,80,55
83,56,72,44,83,53,53,82,126,68
79,57,73,46,82,54,54,84,125,67
82,55,76,44,82,54,54,83,86,54
79,56,71,46,83,53,55,84,126,65
81,53,73,44,84,55,54,82,124,66
82,54,74,46,83,54,54,83,85,53
84,54,72,44,82,54,54,83,124,67
85,56,73,43,81,54,54,83,126,71
86,53,70,45,82,53,56,83,79,50
82,50,72,48,83,55,55,84,124,67
83,55,74,48,82,53,56,84,125,69
81,53,75,45,83,55,56,85,81,54
79,50,78,45,84,55,54,84,127,67
84,56,75,46,83,54,54,82,125,70
81,55,79,45,83,54,55,83,84,53
83,53,76,49,81,53,54,82,126,66
82,57,72,43,82,55,56,85,125,70
83,53,73,45,84,54,56,83,82,55
83,51,76,46,81,54,55,83,123,68
84,57,75,44,82,54,52,83,126,67
82,57,73,46,82,53,54,84,81,57
81,52,74,46,81,53,54,83,125,68
79,52,71,47,81,53,54,83,126,69
78,56,73,46,84,55,56,83,86,54
80,53,71,43,83,55,55,84,127,68
87,57,73,42,81,53,57,84,125,68
85,54,75,44,82,54,55,82,84,52
84,55,73,44,82,53,51,80,125,68
85,52,72,44,83,55,54,83,125,70
79,53,72,44,82,54,54,84,79,53
82,54,74,45,81,54,54,81,124,69
85,54,76,46,83,56,55,83,125,68
83,55,77,46,85,56,52,81,81,57
81,55,71,45,83,56,53,82,125,69
84,50,72,43,81,54,55,83,125,69
81,52,75,45,80,52,56,83,83,49
